"","Date","region","total confirmed cases","new cases","interventions"
"585",2020-03-29,"AUS",3975,338,"Public gatherings limited to 2 people; PM clears only 4 acceptable reasons for leaving the house: shopping for essentials, medical/compassionate needs, exercise and work/education"
"586",2020-03-30,"NSW",1918,127,NA
"587",2020-03-30,"WA",355,44,NA
"588",2020-03-30,"VIC",821,52,NA
"589",2020-03-30,"SA",305,6,NA
"590",2020-03-30,"ACT",71,0,NA
"591",2020-03-30,"NT",12,0,NA
"592",2020-03-30,"QLD",689,33,NA
"593",2020-03-30,"TAS",66,0,NA
"594",2020-03-30,"AUS",4237,262,NA
"595",2020-03-31,"NSW",2032,114,NA
"596",2020-03-31,"WA",364,9,NA
"597",2020-03-31,"VIC",917,96,NA
"598",2020-03-31,"SA",337,32,NA
"599",2020-03-31,"ACT",80,9,NA
"600",2020-03-31,"NT",12,0,NA
"601",2020-03-31,"QLD",743,54,NA
"602",2020-03-31,"TAS",69,3,NA
"603",2020-03-31,"AUS",4554,317,NA
"604",2020-04-01,"NSW",2182,150,NA
"605",2020-04-01,"WA",392,28,NA
"606",2020-04-01,"VIC",968,51,NA
"607",2020-04-01,"SA",367,30,NA
